station_key,canonical_station_name,first_financial_year,last_financial_year,year_count,financial_years,eligible_year_count,all_file_names
homebushbay13211kv,Homebush Bay 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Homebush Bay 132_11kV
jewells3311kv,Jewells 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Jewells 33_11kV
kogarah13211kv,Kogarah 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Kogarah 132_11kV
kotara3311kv,Kotara 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Kotara 33_11kV
lakemunmorah13211kv,Lake Munmorah 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Lake Munmorah 132_11kV
macquariepark13211kv,Macquarie Park 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Macquarie Park 132_11kV
maitland3311kv,Maitland 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Maitland 33_11kV
marrickville13211kv,Marrickville 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Marrickville 132_11kV
maryland13211kv,Maryland 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Maryland 132_11kV
matraville3311kv,Matraville 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Matraville 33_11kV
nelsonbay3311kv,Nelson Bay 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Nelson Bay 33_11kV
rathmines13211kv,Rathmines 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Rathmines 132_11kV
rothbury13211kv,Rothbury 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Rothbury 132_11kV
swansea3311kv,Swansea 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Swansea 33_11kV
tanilbabay3311kv,Tanilba Bay 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Tanilba Bay 33_11kV
thornton3311kv,Thornton 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Thornton 33_11kV
tomaree3311kv,Tomaree 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Tomaree 33_11kV
wamberal13211kv,Wamberal 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Wamberal 132_11kV
cityeast3311kv,City East 33_11kV,2015,2023,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,9,City East 33_11kV
dulwichhill3311kv,Dulwich Hill 33_11kV,2015,2023,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,9,Dulwich Hill 33_11kV
greenacrepark13211kv,Greenacre Park 132_11kV,2015,2023,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,9,Greenacre Park 132_11kV
rnshospital13211kv,RNS Hospital 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,RNS Hospital 132_11kV
singleton6611kv,Singleton 66_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Singleton 66_11kV
tarro3311kv,Tarro 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Tarro 33_11kV
williamtown3311kv,Williamtown 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,9,Williamtown 33_11kV
aberdeen6611kv,Aberdeen 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Aberdeen 66_11kV
avondale3311kv,Avondale 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Avondale 33_11kV
brandyhill13211kv,Brandy Hill 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Brandy Hill 132_11kV
branxton6611kv,Branxton 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Branxton 66_11kV
camperdown3311kv,Camperdown 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Camperdown 33_11kV
